knr2017,kommune,aar,utmarea,tamrein,villrein,antrein,LANDKAT,ALTREG,reg,endelig tamsum,Tamsommer,Tamaar,Maleper,Femaleper,Chper,Beitedager,Maleandelt,Femaleandt,Chandelt,Maleandxmet,Femandmet,Chandmet,Maleandxbdg,Feandxbdg,Chandxbdg,Sumtam,Malekg,Femalekg,Chkg,Metmale,Metfemale,Metch,Sumsamisk,Korrsvenskrein,Endelig samisk,TOTBAR,,,,,,
101.00,Halden,1949.00,535.04,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
104.00,Moss,1949.00,50.12,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
105.00,Sarpsborg,1949.00,288.05,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
106.00,Fredrikstad,1949.00,210.44,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
111.00,Hvaler,1949.00,83.92,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
118.00,Aremark,1949.00,264.42,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
119.00,Marker,1949.00,326.62,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
121.00,Rømskog,1949.00,156.30,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
122.00,Trøgstad,1949.00,121.27,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
123.00,Spydeberg,1949.00,96.12,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
124.00,Askim,1949.00,39.16,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
125.00,Eidsberg,1949.00,151.91,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
127.00,Skiptvet,1949.00,56.69,0.00,0.00,0.00,SENorway,inlandlow,2.00,0.00,0,0,10,65,25,365,0,0,0,0,0,0,0,0,0,0,100,63,45,31.6227766,22.36173065,17.37438278,0,0,0,0,,,,,,
